sample,state,reads_raw,reads_passed_filter,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
13_TX2016_043,7,2314090,2276699,590406,1686293,203003,10849,0.015853,0.010342,5782,3895
42_TX2016_046,7,2625730,2621504,262858,2358646,99758,4305,0.012114,0.009876,3110,2236
59_TX2016_048,7,2508914,2503578,237785,2265793,93409,3752,0.010275,0.011022,2622,1893
6_TX2017_027,7,1449142,1410321,629930,780391,216153,12053,0.016929,0.010515,6341,3964
82_TX2016_049,7,414245,411433,90606,320827,33984,1540,0.010552,0.009660,1282,907
8_TX2017_028,7,11423322,11371391,1762685,9608706,436346,38193,0.020348,0.010031,16997,8083
Bermuda_100,7,13257461,13232645,779220,12453425,191361,13577,0.010553,0.007429,9722,6183
Bermuda_103,7,2926800,2886892,719567,2167325,160256,11729,0.012236,0.007638,7757,5431
Bermuda_15,7,2591935,2586881,457198,2129683,120439,8626,0.012143,0.007070,5641,3928
Bermuda_19,7,1555702,1488934,593382,895552,190964,10826,0.022148,0.010936,4390,2200
Bermuda_28,7,5478100,5466992,324328,5142664,115132,5447,0.014018,0.009286,3339,2217
Bermuda_30,7,2940245,2905831,670183,2235648,163859,11714,0.013441,0.007960,6880,4669
Bermuda_54,7,3892497,3883780,290566,3593214,114925,4860,0.015167,0.011542,2753,1783
Bermuda_55,7,6629955,6546158,1530619,5015539,313869,30146,0.018823,0.006847,15056,8339
Bermuda_63,7,1814210,1784583,488101,1296482,124526,8340,0.011183,0.009127,4987,3574
Bermuda_65,7,2975746,2966949,412329,2554620,127306,7892,0.011476,0.008933,5348,3822
Bermuda_67,7,6643315,6629904,905787,5724117,210977,19199,0.012225,0.007461,13033,6515
Bermuda_68,7,3981159,3966491,619371,3347120,187468,11088,0.013569,0.009433,6487,4569
Bermuda_69,7,8996284,8980480,885365,8095115,238693,16022,0.014360,0.008310,9339,6194
Bermuda_79,7,3444035,3433656,271141,3162515,108421,4103,0.013827,0.012212,2428,1558
Bermuda_8,7,1903198,1889715,609756,1279959,145454,10556,0.012896,0.007998,6703,4732
Bermuda_80,7,10150637,10137179,457497,9679682,159280,8152,0.011536,0.010488,5069,3426
Bermuda_81,7,1808886,1754828,708054,1046774,178380,12500,0.014281,0.009211,6936,4557
Bermuda_83,7,2573675,2541077,747667,1793410,176898,12892,0.014463,0.007027,7599,5229
Bermuda_84,7,3229842,3211476,664025,2547451,198775,11031,0.012201,0.009674,6930,4970
Bermuda_85,7,1713390,1709969,327186,1382783,107137,5721,0.010653,0.009438,4273,3140
Bermuda_94,7,3481245,3465535,359492,3106043,115528,6213,0.011000,0.008792,4422,3336
Guam_104460,7,6935928,6929513,448564,6480949,90296,7191,0.014548,0.007500,5865,3000
Guam_104461,7,6294242,6286474,356079,5930395,85791,5334,0.014680,0.008895,4184,2303
Guam_104464,7,3828726,3824148,356916,3467232,72260,5287,0.014448,0.007357,4359,2344
Guam_104465,7,12720657,12706334,811268,11895066,160025,13003,0.016428,0.007687,9585,4235
South_Africa,7,6778201,6766971,466603,6300368,88315,5621,0.015264,0.007200,4250,1770